id,lat,lon,is_utility_pole,pole_type,model_flags,model_watch,lean,crossarm,vegetation,transformer,attachments_estimate,photos_assessed,capture_sequences,photo_shown_date,latest_available_photo_date,source_photo_url,nearest_osm_pole_m
gree-00000,40.736145,-73.95189,True,wood_utility,,,none,none_visible,none,False,1,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=228386778622108&focus=photo,
gree-00001,40.7362123,-73.95001,True,wood_utility,lean,,severe,none_visible,near,False,2,9,2,2018-08,2018-08,https://www.mapillary.com/app/?pKey=310359387326781&focus=photo,
gree-00002,40.7362,-73.95114,True,wood_utility,,lean_slight,slight,none_visible,none,False,2,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=2934690230110239&focus=photo,
gree-00003,40.735874,-73.95001,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=578554139784568&focus=photo,
gree-00004,40.719795,-73.95294,False,other,,,none,none_visible,near,False,0,3,1,2023-09,2023-09,https://www.mapillary.com/app/?pKey=1453258705407300&focus=photo,
gree-00005,40.72016,-73.95309,False,street_light,vegetation,,unclear,none_visible,touching,False,0,1,1,2023-09,2023-09,https://www.mapillary.com/app/?pKey=699029198742272&focus=photo,
gree-00006,40.72368,-73.9413583,True,wood_utility,,lean_slight,slight,none_visible,near,False,2,9,2,2024-07,2024-07,https://www.mapillary.com/app/?pKey=1191557181983065&focus=photo,
gree-00007,40.7234372,-73.9413025,True,wood_utility,,,none,none_visible,near,False,2,12,2,2024-07,2024-07,https://www.mapillary.com/app/?pKey=3614922282145569&focus=photo,
gree-00008,40.718952,-73.95816,True,wood_utility,,,none,none_visible,near,False,2,3,1,2019-12,2019-12,https://www.mapillary.com/app/?pKey=374156083923995&focus=photo,
gree-00009,40.71901,-73.95822,True,wood_utility,,,none,none_visible,near,False,2,3,1,2019-12,2019-12,https://www.mapillary.com/app/?pKey=991557558045580&focus=photo,
gree-00010,40.7233537,-73.9413587,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,9,3,2024-07,2024-07,https://www.mapillary.com/app/?pKey=1657216561693284&focus=photo,
gree-00011,40.7235147,-73.941234,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,9,1,2024-07,2024-07,https://www.mapillary.com/app/?pKey=2568391936883599&focus=photo,
gree-00012,40.73312,-73.951416,True,wood_utility,,lean_slight,slight,none_visible,none,False,0,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=821352701805538&focus=photo,
gree-00013,40.73316,-73.95111,True,wood_utility,,lean_slight,slight,none_visible,none,False,1,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=1410052219356132&focus=photo,
gree-00014,40.73545,-73.958595,True,wood_utility,,,none,none_visible,near,False,2,3,1,2016-05,2016-05,https://www.mapillary.com/app/?pKey=470520857618554&focus=photo,
gree-00015,40.735638,-73.95847,False,traffic_signal,,,none,none_visible,near,False,0,3,1,2016-05,2016-05,https://www.mapillary.com/app/?pKey=470520857618554&focus=photo,
gree-00016,40.735233,-73.958565,True,wood_utility,,lean_slight,slight,none_visible,near,False,2,3,1,2016-05,2016-05,https://www.mapillary.com/app/?pKey=493400005344015&focus=photo,
gree-00017,40.7365484,-73.932394,True,wood_utility,,,none,none_visible,none,False,1,5,2,2018-09,2018-09,https://www.mapillary.com/app/?pKey=112537857580101&focus=photo,
gree-00018,40.736292,-73.93273,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,1,6,2,2018-05,2018-05,https://www.mapillary.com/app/?pKey=500587531155617&focus=photo,
gree-00019,40.719223,-73.94812,False,street_light,,lean_slight,slight,none_visible,near,False,0,1,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=317090727693860&focus=photo,
gree-00020,40.719265,-73.948326,False,street_light,,,none,none_visible,near,False,0,2,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=708548507426276&focus=photo,
gree-00021,40.7348534,-73.949875,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,1,5,3,2019-12,2019-12,https://www.mapillary.com/app/?pKey=472527564054230&focus=photo,
gree-00022,40.738964,-73.94081,True,wood_utility,,,unclear,unclear,none,False,0,3,1,2017-09,2017-09,https://www.mapillary.com/app/?pKey=370407221080784&focus=photo,
gree-00023,40.725986,-73.93035,True,concrete_or_steel_utility,,,none,none_visible,unclear,False,0,2,1,2024-04,2024-04,https://www.mapillary.com/app/?pKey=1053741389583069&focus=photo,
gree-00024,40.72337,-73.940834,False,other,,,unclear,none_visible,near,False,0,1,1,2024-07,2024-07,https://www.mapillary.com/app/?pKey=1016947216598792&focus=photo,
gree-00025,40.72469,-73.93668,True,wood_utility,lean,,severe,none_visible,none,False,0,3,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=295410283326069&focus=photo,
gree-00026,40.7343005,-73.9377775,True,wood_utility,,lean_slight,slight,none_visible,none,False,2,6,1,2018-05,2018-05,https://www.mapillary.com/app/?pKey=466095004620847&focus=photo,
gree-00027,40.734283,-73.93762,True,wood_utility,,lean_slight,slight,none_visible,none,False,1,3,1,2018-05,2018-05,https://www.mapillary.com/app/?pKey=185470246768531&focus=photo,
gree-00028,40.734545,-73.93755,True,wood_utility,,lean_slight,slight,none_visible,near,False,2,9,1,2018-05,2018-05,https://www.mapillary.com/app/?pKey=349846840041955&focus=photo,
gree-00029,40.7243195,-73.9494375,False,traffic_signal,,lean_slight,slight,none_visible,none,False,0,6,1,2016-06,2016-06,https://www.mapillary.com/app/?pKey=324446879245159&focus=photo,
gree-00030,40.725222,-73.934484,True,wood_utility,lean,,moderate,none_visible,near,False,0,5,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=278438655179364&focus=photo,
gree-00031,40.725143,-73.9349,True,wood_utility,vegetation,,none,none_visible,touching,False,0,3,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=876731293861445&focus=photo,
gree-00032,40.7252445,-73.93421,True,wood_utility,,lean_slight,slight,none_visible,near,False,0,6,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1485072015560670&focus=photo,
gree-00033,40.725346,-73.93479,True,wood_utility,,lean_slight,slight,unclear,none,False,1,3,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=6638923529496551&focus=photo,
gree-00034,40.7250012,-73.935136,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,0,5,2,2023-10,2024-04,https://www.mapillary.com/app/?pKey=1019155095995823&focus=photo,
gree-00035,40.725236,-73.9343525,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,0,4,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1046180886801533&focus=photo,
gree-00036,40.7252825,-73.934043,False,street_light,lean;vegetation,,moderate,none_visible,touching,False,0,4,2,2023-10,2024-04,https://www.mapillary.com/app/?pKey=1386687568950612&focus=photo,
gree-00037,40.725197,-73.9345987,True,wood_utility,,,none,none_visible,near,False,0,9,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=133899256482080&focus=photo,
gree-00038,40.725296,-73.93492,True,wood_utility,,lean_slight,slight,none_visible,none,False,1,3,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=876731293861445&focus=photo,
gree-00039,40.7251232,-73.9347,True,wood_utility,,lean_slight,slight,none_visible,none,False,1,6,2,2023-10,2023-10,https://www.mapillary.com/app/?pKey=2540405616127572&focus=photo,
gree-00040,40.725078,-73.934938,True,wood_utility,,lean_slight,slight,none_visible,near,False,0,5,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1057351542380398&focus=photo,
gree-00041,40.7253322,-73.9338775,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,0,4,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=716579497011801&focus=photo,
gree-00042,40.725357,-73.93345,False,other,,,none,none_visible,none,False,0,2,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1243870832961290&focus=photo,
gree-00043,40.7254611,-73.9333669,True,wood_utility,,lean_slight,slight,none_visible,near,False,0,8,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1820371675112473&focus=photo,
gree-00044,40.725433,-73.9335275,False,street_light,vegetation,,none,none_visible,touching,False,0,6,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=285220047763578&focus=photo,
gree-00045,40.725365,-73.93378,False,unclear,,,unclear,none_visible,none,False,0,2,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=6846587362097492&focus=photo,
gree-00046,40.725039,-73.935015,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,0,6,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1256448329088837&focus=photo,
gree-00047,40.7253908,-73.933676,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,0,5,2,2024-04,2024-04,https://www.mapillary.com/app/?pKey=464212909739140&focus=photo,
gree-00048,40.72581,-73.9333,True,wood_utility,,lean_slight,slight,unclear,near,False,1,2,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=339451885126634&focus=photo,
gree-00049,40.72547,-73.951645,False,traffic_signal,,,none,none_visible,none,False,0,3,1,2016-06,2016-06,https://www.mapillary.com/app/?pKey=177139687605217&focus=photo,
gree-00050,40.723545,-73.93991,True,wood_utility,lean,,moderate,none_visible,near,False,2,3,1,2024-07,2024-07,https://www.mapillary.com/app/?pKey=860937639266062&focus=photo,
gree-00051,40.73412,-73.94972,True,wood_utility,vegetation,,unclear,unclear,touching,False,1,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=844138953127774&focus=photo,
gree-00052,40.7335205,-73.949695,True,wood_utility,,lean_slight,slight,unclear,near,False,1,6,2,2018-08,2018-08,https://www.mapillary.com/app/?pKey=3763748427087908&focus=photo,
gree-00053,40.73347,-73.949646,True,wood_utility,,,none,none_visible,near,False,1,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=917979835715935&focus=photo,
gree-00054,40.734154,-73.949936,True,wood_utility,,lean_slight,slight,none_visible,none,False,1,1,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=810266139909343&focus=photo,
gree-00055,40.73309,-73.951706,True,wood_utility,,,none,none_visible,none,False,2,2,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=1692704617606263&focus=photo,
gree-00056,40.734097,-73.95204,True,wood_utility,,lean_slight,slight,none_visible,near,False,2,3,1,2020-04,2020-04,https://www.mapillary.com/app/?pKey=1194732507616259&focus=photo,
gree-00057,40.733093,-73.951904,True,wood_utility,,,unclear,unclear,none,False,1,2,1,2020-04,2020-04,https://www.mapillary.com/app/?pKey=3273890196069486&focus=photo,
gree-00058,40.732697,-73.95184,True,wood_utility,,lean_slight,slight,none_visible,none,False,0,2,1,2020-04,2020-04,https://www.mapillary.com/app/?pKey=254396539776829&focus=photo,
gree-00059,40.733273,-73.95193,True,wood_utility,,lean_slight,slight,unclear,none,False,1,2,1,2020-04,2020-04,https://www.mapillary.com/app/?pKey=957184298349161&focus=photo,
gree-00060,40.733723,-73.95201,True,wood_utility,,,unclear,none_visible,none,False,0,3,1,2020-04,2020-04,https://www.mapillary.com/app/?pKey=514805182982172&focus=photo,
gree-00061,40.7235,-73.95181,False,traffic_signal,,,none,none_visible,none,False,0,3,1,2023-07,2023-07,https://www.mapillary.com/app/?pKey=321065480260134&focus=photo,
gree-00062,40.72434,-73.949036,False,traffic_signal,,,none,none_visible,none,False,1,3,1,2023-07,2023-07,https://www.mapillary.com/app/?pKey=244345745112521&focus=photo,
gree-00063,40.72379,-73.95068,False,traffic_signal,,,none,none_visible,none,False,0,2,1,2023-07,2023-07,https://www.mapillary.com/app/?pKey=6436426953077517&focus=photo,
gree-00064,40.73327,-73.940735,False,other,,,none,none_visible,none,False,0,1,1,2018-05,2018-05,https://www.mapillary.com/app/?pKey=452230969207916&focus=photo,
gree-00065,40.7332855,-73.9503025,True,wood_utility,vegetation,lean_slight,slight,unclear,touching,False,0,6,2,2018-08,2018-08,https://www.mapillary.com/app/?pKey=1438666859806310&focus=photo,
gree-00066,40.73336,-73.94979,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,3,1,2018-08,2018-08,https://www.mapillary.com/app/?pKey=522885075554389&focus=photo,
gree-00067,40.7234215,-73.941405,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,6,1,2024-07,2024-07,https://www.mapillary.com/app/?pKey=356858063914380&focus=photo,
gree-00068,40.72773,-73.94961,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,1,1,2024-12,2024-12,https://www.mapillary.com/app/?pKey=1239044830542774&focus=photo,
gree-00069,40.721375,-73.95224,False,street_light,,,none,none_visible,near,False,0,1,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1844437712637248&focus=photo,
gree-00070,40.723717,-73.94342,False,unclear,,,unclear,none_visible,none,False,0,3,1,2024-03,2024-03,https://www.mapillary.com/app/?pKey=1099526954597849&focus=photo,
gree-00071,40.7236293,-73.9404967,True,wood_utility,,lean_slight,slight,none_visible,none,False,2,9,2,2024-03,2024-03,https://www.mapillary.com/app/?pKey=336667752198309&focus=photo,
gree-00072,40.734684,-73.93799,True,wood_utility,,lean_slight,slight,none_visible,none,False,2,1,1,2015-06,2015-06,https://www.mapillary.com/app/?pKey=386342332420354&focus=photo,
gree-00073,40.7355405,-73.9587525,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,6,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1407606460136487&focus=photo,
gree-00074,40.73601,-73.9587,True,wood_utility,,lean_slight,slight,none_visible,near,False,0,3,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1433866840504940&focus=photo,
gree-00075,40.7356798,-73.95865,False,traffic_signal,vegetation,,unclear,none_visible,touching,False,0,5,2,2016-05,2023-10,https://www.mapillary.com/app/?pKey=324229709060460&focus=photo,
gree-00076,40.721878,-73.95525,True,wood_utility,,,unclear,unclear,near,False,1,1,1,2023-09,2023-09,https://www.mapillary.com/app/?pKey=175885565536804&focus=photo,
gree-00077,40.7233587,-73.9404313,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,9,3,2024-07,2024-07,https://www.mapillary.com/app/?pKey=1014579613693852&focus=photo,
gree-00078,40.72349,-73.94035,True,wood_utility,,,none,none_visible,near,False,1,6,2,2024-03,2024-03,https://www.mapillary.com/app/?pKey=1473003440296079&focus=photo,
gree-00079,40.73862,-73.932175,False,street_light,,,none,none_visible,none,False,0,3,1,2018-10,2018-10,https://www.mapillary.com/app/?pKey=168766071844740&focus=photo,
gree-00080,40.725992,-73.941245,True,wood_utility,,lean_slight,slight,intact,near,True,1,6,2,2024-07,2024-07,https://www.mapillary.com/app/?pKey=1125338678574642&focus=photo,
gree-00081,40.723,-73.94418,True,wood_utility,vegetation,lean_slight,slight,unclear,touching,False,2,3,1,2023-07,2023-07,https://www.mapillary.com/app/?pKey=814249696718809&focus=photo,
gree-00082,40.72618,-73.93154,False,street_light,,,none,none_visible,none,False,0,2,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=702465008432280&focus=photo,
gree-00083,40.726112,-73.92982,True,concrete_or_steel_utility,,,none,intact,none,True,1,3,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=1967875460256530&focus=photo,
gree-00084,40.726013,-73.929756,True,wood_utility,,,none,none_visible,none,False,1,3,1,2023-10,2023-10,https://www.mapillary.com/app/?pKey=704275341587091&focus=photo,
gree-00085,40.7342,-73.95217,False,traffic_signal,,,unclear,none_visible,near,False,0,2,1,2018-09,2018-09,https://www.mapillary.com/app/?pKey=4161202627235931&focus=photo,
gree-00086,40.734814,-73.95241,True,wood_utility,,lean_slight,slight,unclear,none,False,1,1,1,2018-09,2018-09,https://www.mapillary.com/app/?pKey=379525210183503&focus=photo,
gree-00087,40.734127,-73.959885,False,street_light,,,none,none_visible,none,False,0,1,1,2022-07,2022-07,https://www.mapillary.com/app/?pKey=788635315830475&focus=photo,
gree-00088,40.7335238,-73.959782,True,wood_utility,,,none,none_visible,none,False,1,5,2,2022-07,2022-07,https://www.mapillary.com/app/?pKey=764445101352189&focus=photo,
gree-00089,40.7339417,-73.9598387,True,wood_utility,,,none,none_visible,none,False,1,3,1,2022-07,2022-07,https://www.mapillary.com/app/?pKey=438201711516032&focus=photo,
gree-00090,40.7336279,-73.9598429,True,wood_utility,,,none,none_visible,near,False,2,7,2,2022-07,2022-07,https://www.mapillary.com/app/?pKey=1010585692966585&focus=photo,
gree-00091,40.734573,-73.95995,True,wood_utility,,,none,none_visible,none,False,2,3,1,2022-07,2022-07,https://www.mapillary.com/app/?pKey=732719644646987&focus=photo,
gree-00092,40.734272,-73.959885,True,wood_utility,,lean_slight,slight,none_visible,near,False,2,3,1,2022-07,2022-07,https://www.mapillary.com/app/?pKey=572397607851636&focus=photo,
