id,lat,lon,is_utility_pole,pole_type,model_flags,model_watch,lean,crossarm,vegetation,transformer,attachments_estimate,photos_assessed,capture_sequences,photo_shown_date,latest_available_photo_date,source_photo_url,nearest_osm_pole_m
hard-00000,44.55049,-72.266106,True,wood_utility,,,none,none_visible,near,False,1,3,3,2019-07,2019-07,https://www.mapillary.com/app/?pKey=787715018547753&focus=photo,
hard-00001,44.502296,-72.3456,True,wood_utility,vegetation,,none,none_visible,touching,False,1,2,2,2016-06,2016-06,https://www.mapillary.com/app/?pKey=169588465168930&focus=photo,
hard-00002,44.5025106,-72.3429214,True,wood_utility,,,none,none_visible,near,False,0,7,4,2018-07,2018-07,https://www.mapillary.com/app/?pKey=191606232725687&focus=photo,
hard-00003,44.5016984,-72.347892,True,wood_utility,vegetation,lean_slight,slight,intact,touching,False,1,5,2,2018-07,2018-07,https://www.mapillary.com/app/?pKey=576127033372538&focus=photo,
hard-00004,44.50176,-72.351974,True,wood_utility,vegetation,,none,unclear,touching,False,0,3,2,2016-06,2018-07,https://www.mapillary.com/app/?pKey=137411578446916&focus=photo,
hard-00005,44.517594,-72.305305,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,1,5,4,2018-07,2018-07,https://www.mapillary.com/app/?pKey=529567788416455&focus=photo,
hard-00006,44.51877,-72.3027,True,wood_utility,vegetation,lean_slight,slight,unclear,touching,False,1,2,2,2018-07,2018-07,https://www.mapillary.com/app/?pKey=207704927857208&focus=photo,
hard-00007,44.51741,-72.30599,True,wood_utility,,lean_slight,slight,none_visible,near,False,0,3,3,2018-07,2018-07,https://www.mapillary.com/app/?pKey=1718755588308808&focus=photo,
hard-00008,44.51761,-72.30519,True,wood_utility,,lean_slight,slight,intact,near,False,1,3,2,2018-07,2018-07,https://www.mapillary.com/app/?pKey=774984399667022&focus=photo,
hard-00009,44.517586,-72.30478,True,wood_utility,,,none,intact,none,False,1,1,1,2016-06,2016-06,https://www.mapillary.com/app/?pKey=1211480299266383&focus=photo,
hard-00010,44.5173185,-72.305435,True,wood_utility,,,none,intact,near,False,1,6,3,2016-06,2016-06,https://www.mapillary.com/app/?pKey=481996539547946&focus=photo,
hard-00011,44.517704,-72.30448,False,unclear,,,unclear,none_visible,unclear,False,0,3,2,2018-07,2018-07,https://www.mapillary.com/app/?pKey=1306336343094861&focus=photo,
hard-00012,44.5194764,-72.3019576,True,wood_utility,,,unclear,none_visible,none,False,0,5,3,2018-07,2018-07,https://www.mapillary.com/app/?pKey=348506573284222&focus=photo,
hard-00013,44.519234,-72.3022,True,wood_utility,vegetation,,none,none_visible,touching,False,1,3,2,2016-06,2018-07,https://www.mapillary.com/app/?pKey=325547868920231&focus=photo,
hard-00014,44.5172235,-72.305633,True,wood_utility,,lean_slight,slight,intact,near,True,1,6,5,2018-07,2018-07,https://www.mapillary.com/app/?pKey=470882417311961&focus=photo,
hard-00015,44.51763,-72.30463,True,wood_utility,,lean_slight,slight,intact,near,False,1,3,2,2014-06,2016-06,https://www.mapillary.com/app/?pKey=465020481259373&focus=photo,
hard-00016,44.517376,-72.30528,True,wood_utility,,,none,intact,near,False,1,3,2,2016-06,2016-06,https://www.mapillary.com/app/?pKey=334104748059513&focus=photo,
hard-00017,44.495224,-72.37332,True,wood_utility,,,none,none_visible,none,False,0,2,2,2018-07,2018-07,https://www.mapillary.com/app/?pKey=2818521458478683&focus=photo,19.3
hard-00018,44.496014,-72.37269,True,wood_utility,,lean_slight,slight,intact,near,False,0,1,1,2016-07,2018-07,https://www.mapillary.com/app/?pKey=770096580369763&focus=photo,
hard-00019,44.541542,-72.26982,True,wood_utility,,lean_slight,slight,intact,near,False,1,3,3,2018-07,2018-07,https://www.mapillary.com/app/?pKey=1161123224406490&focus=photo,
hard-00020,44.541363,-72.269844,False,unclear,,,unclear,none_visible,unclear,False,0,3,3,2018-07,2018-07,https://www.mapillary.com/app/?pKey=1736654309839664&focus=photo,
hard-00021,44.54171,-72.269875,True,wood_utility,vegetation,,unclear,unclear,touching,False,0,1,1,2016-06,2016-06,https://www.mapillary.com/app/?pKey=522352112462966&focus=photo,
hard-00022,44.54062,-72.27022,False,unclear,,,unclear,none_visible,unclear,False,0,3,2,2016-06,2016-06,https://www.mapillary.com/app/?pKey=3760300380764425&focus=photo,
