id,lat,lon,is_utility_pole,pole_type,model_flags,model_watch,lean,crossarm,vegetation,transformer,attachments_estimate,photos_assessed,capture_sequences,photo_shown_date,latest_available_photo_date,source_photo_url,nearest_osm_pole_m
marb-00000,42.507133,-70.8476,True,wood_utility,,,none,none_visible,near,False,1,3,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=613937043950563&focus=photo,
marb-00001,42.50692,-70.847786,True,wood_utility,,,none,none_visible,near,False,1,3,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=1026857732011461&focus=photo,
marb-00002,42.5068526,-70.8478463,True,wood_utility,,lean_slight,slight,none_visible,none,False,2,13,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=1733082407127881&focus=photo,
marb-00003,42.5067102,-70.848,True,wood_utility,,lean_slight,slight,none_visible,none,False,2,4,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=284797844169939&focus=photo,
marb-00004,42.50259,-70.852875,True,wood_utility,,lean_slight,slight,none_visible,near,False,3,1,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=831283621908605&focus=photo,
marb-00005,42.5032,-70.85191,True,wood_utility,lean;vegetation,,moderate,none_visible,touching,False,2,3,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=311067127960720&focus=photo,
marb-00006,42.50319,-70.85173,True,wood_utility,,,none,none_visible,near,False,1,3,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=4424791217746608&focus=photo,
marb-00007,42.502666,-70.852745,True,wood_utility,,,none,none_visible,near,False,3,3,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=262311286580075&focus=photo,
marb-00008,42.5060352,-70.848462,True,wood_utility,,lean_slight,slight,none_visible,near,False,2,5,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=639846721545955&focus=photo,
marb-00009,42.50591,-70.84862,True,wood_utility,,,none,intact,near,False,2,3,1,2023-08,2023-08,https://www.mapillary.com/app/?pKey=1983727155360578&focus=photo,
marb-00010,42.493078,-70.835855,True,wood_utility,,,none,none_visible,near,False,1,6,2,2025-11,2025-11,https://www.mapillary.com/app/?pKey=820296957403587&focus=photo,
marb-00011,42.494167,-70.83588,True,wood_utility,,,none,none_visible,near,False,0,3,1,2023-11,2023-11,https://www.mapillary.com/app/?pKey=341438868493008&focus=photo,
marb-00012,42.50175,-70.835464,True,wood_utility,vegetation,,none,none_visible,touching,False,2,3,1,2023-11,2023-11,https://www.mapillary.com/app/?pKey=163078273559755&focus=photo,
marb-00013,42.5015,-70.83552,False,street_light,vegetation,lean_slight,slight,none_visible,touching,False,0,3,1,2023-11,2023-11,https://www.mapillary.com/app/?pKey=1780049142430548&focus=photo,
marb-00014,42.501602,-70.835625,True,wood_utility,,lean_slight,slight,intact,near,False,1,3,1,2023-11,2023-11,https://www.mapillary.com/app/?pKey=364157419418887&focus=photo,
marb-00015,42.497505,-70.84018,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=3934454816844730&focus=photo,
marb-00016,42.49707,-70.84077,True,wood_utility,double;lean;vegetation,,moderate,unclear,touching,False,1,2,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1505731510691583&focus=photo,
marb-00017,42.498077,-70.839485,False,unclear,,,unclear,none_visible,unclear,False,0,1,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1220561293267557&focus=photo,
marb-00018,42.49681,-70.84098,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,1,1,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=25131308083152078&focus=photo,
marb-00019,42.497612,-70.84005,True,wood_utility,,,none,intact,near,False,1,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=3934454816844730&focus=photo,
marb-00020,42.497202,-70.840565,True,wood_utility,lean,,severe,none_visible,none,False,1,4,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1608183307204523&focus=photo,
marb-00021,42.49742,-70.84025,True,wood_utility,lean;vegetation,,severe,none_visible,touching,False,0,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=4217667545137247&focus=photo,
marb-00022,42.4973703,-70.84039,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,2,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1219992786633081&focus=photo,
marb-00023,42.497314,-70.84046,True,wood_utility,vegetation,,none,none_visible,touching,False,2,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1219992786633081&focus=photo,
marb-00024,42.497684,-70.839966,True,wood_utility,,lean_slight,slight,intact,none,False,1,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=810890098393098&focus=photo,
marb-00025,42.497757,-70.839874,True,wood_utility,,lean_slight,slight,intact,near,False,1,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1256984123127224&focus=photo,
marb-00026,42.4979303,-70.8396113,True,wood_utility,vegetation,lean_slight,slight,unclear,touching,False,1,4,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1745309156314206&focus=photo,
marb-00027,42.496765,-70.8411275,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,0,6,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1444568540332456&focus=photo,
marb-00028,42.4970125,-70.840815,True,wood_utility,double;lean,,moderate,none_visible,none,False,1,8,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=695877420238452&focus=photo,
marb-00029,42.49692,-70.841,True,wood_utility,vegetation,lean_slight,slight,unclear,touching,True,1,1,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1338630174417406&focus=photo,
marb-00030,42.4838195,-70.8770825,True,wood_utility,vegetation,lean_slight,slight,intact,touching,False,1,4,1,2023-11,2023-11,https://www.mapillary.com/app/?pKey=1040036430567762&focus=photo,
marb-00031,42.493546,-70.84481,True,wood_utility,,,none,intact,none,False,2,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=835624902280600&focus=photo,
marb-00032,42.493324,-70.84493,True,wood_utility,lean,,severe,none_visible,near,False,1,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=2327790097654841&focus=photo,
marb-00033,42.493793,-70.84415,True,wood_utility,vegetation,,unclear,none_visible,touching,False,2,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1370128991315101&focus=photo,
marb-00034,42.494057,-70.843544,True,wood_utility,vegetation,,none,none_visible,touching,False,0,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1097583298918973&focus=photo,
marb-00035,42.49385,-70.84403,True,wood_utility,vegetation,,unclear,unclear,touching,False,0,1,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=1153797266397726&focus=photo,
marb-00036,42.493702,-70.84441,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,1,3,1,2025-11,2025-11,https://www.mapillary.com/app/?pKey=825722330036849&focus=photo,
