id,lat,lon,is_utility_pole,pole_type,model_flags,model_watch,lean,crossarm,vegetation,transformer,attachments_estimate,photos_assessed,capture_sequences,photo_shown_date,latest_available_photo_date,source_photo_url,nearest_osm_pole_m
newt-00000,42.3307977,-71.24787,True,wood_utility,,,none,intact,none,False,1,6,3,2025-04,2025-04,https://www.mapillary.com/app/?pKey=1319438735793447&focus=photo,
newt-00001,42.330698,-71.2479425,True,wood_utility,,,none,intact,near,False,2,4,2,2025-04,2025-04,https://www.mapillary.com/app/?pKey=978624137785475&focus=photo,
newt-00002,42.331176,-71.2476233,True,wood_utility,,,none,intact,near,False,2,6,3,2025-04,2025-04,https://www.mapillary.com/app/?pKey=1183697996270432&focus=photo,
newt-00003,42.3299615,-71.248918,True,wood_utility,,,none,none_visible,none,False,0,4,2,2025-04,2025-04,https://www.mapillary.com/app/?pKey=674788888359372&focus=photo,
newt-00004,42.330364,-71.24814,True,concrete_or_steel_utility,,,none,intact,near,False,0,2,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=685417497233084&focus=photo,
newt-00005,42.3304415,-71.248095,True,wood_utility,,,none,intact,none,False,2,4,2,2025-04,2025-04,https://www.mapillary.com/app/?pKey=1374366040563882&focus=photo,
newt-00006,42.3253913,-71.2577167,True,wood_utility,,,none,none_visible,none,False,2,3,2,2025-03,2025-04,https://www.mapillary.com/app/?pKey=575587862309800&focus=photo,
newt-00007,42.326687,-71.250145,False,other,vegetation,,unclear,none_visible,touching,False,0,2,1,2026-07,2026-07,https://www.mapillary.com/app/?pKey=885528224639073&focus=photo,
newt-00008,42.328028,-71.247165,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,1,4,1,2025-08,2025-08,https://www.mapillary.com/app/?pKey=779321211283004&focus=photo,
newt-00009,42.331173,-71.257576,True,wood_utility,,,none,none_visible,near,False,2,2,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=669438889106294&focus=photo,
newt-00010,42.3318365,-71.256955,True,wood_utility,vegetation,lean_slight,slight,none_visible,touching,False,1,4,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=1056716136298650&focus=photo,
newt-00011,42.331745,-71.2570775,True,wood_utility,,,none,none_visible,near,False,2,4,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=1381078326414967&focus=photo,
newt-00012,42.33168,-71.25724,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,2,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=9454938984559641&focus=photo,
newt-00013,42.33201,-71.25672,True,wood_utility,vegetation,,none,none_visible,touching,False,2,2,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=9443423219060184&focus=photo,
newt-00014,42.332054,-71.2566,True,wood_utility,,,none,none_visible,near,False,2,2,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=1040311527945053&focus=photo,
newt-00015,42.33147,-71.25734,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,2,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=591888540569207&focus=photo,
newt-00016,42.33211,-71.25649,True,concrete_or_steel_utility,,,none,none_visible,near,False,1,1,1,2025-04,2025-04,https://www.mapillary.com/app/?pKey=1603264607001650&focus=photo,
