id,lat,lon,is_utility_pole,pole_type,model_flags,model_watch,lean,crossarm,vegetation,transformer,attachments_estimate,photos_assessed,capture_sequences,photo_shown_date,latest_available_photo_date,source_photo_url,nearest_osm_pole_m
read-00000,42.524807,-71.08234,True,wood_utility,,,none,none_visible,near,False,0,3,1,2023-03,2023-03,https://www.mapillary.com/app/?pKey=2206831499513778&focus=photo,
read-00001,42.524254,-71.08118,True,wood_utility,,,unclear,unclear,near,False,0,2,1,2023-03,2023-03,https://www.mapillary.com/app/?pKey=752677140003755&focus=photo,
read-00002,42.524315,-71.081474,True,wood_utility,,,none,none_visible,near,False,1,3,1,2023-03,2023-03,https://www.mapillary.com/app/?pKey=317828934294304&focus=photo,
read-00003,42.524925,-71.08263,True,wood_utility,,,none,none_visible,near,False,0,2,1,2023-03,2023-03,https://www.mapillary.com/app/?pKey=1057369979016647&focus=photo,
read-00004,42.52443,-71.08176,True,wood_utility,,,none,none_visible,near,False,1,1,1,2023-03,2023-03,https://www.mapillary.com/app/?pKey=3666706863597259&focus=photo,
read-00005,42.506283,-71.103546,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,2,1,2017-10,2017-10,https://www.mapillary.com/app/?pKey=152910326794114&focus=photo,
read-00006,42.506073,-71.10333,False,traffic_signal,,,unclear,none_visible,unclear,False,0,3,1,2017-10,2017-10,https://www.mapillary.com/app/?pKey=784783082176304&focus=photo,
read-00007,42.50625,-71.10363,True,wood_utility,lean,,moderate,none_visible,near,False,0,3,1,2017-10,2017-10,https://www.mapillary.com/app/?pKey=455406412195169&focus=photo,
read-00008,42.5064728,-71.103679,True,wood_utility,,,none,unclear,near,False,1,4,1,2017-10,2017-10,https://www.mapillary.com/app/?pKey=863791437874064&focus=photo,
read-00009,42.5062384,-71.1034794,True,wood_utility,,,none,none_visible,near,False,1,5,1,2017-10,2017-10,https://www.mapillary.com/app/?pKey=504622930960205&focus=photo,
read-00010,42.502483,-71.12713,True,wood_utility,,,none,intact,none,False,1,3,1,2021-06,2021-06,https://www.mapillary.com/app/?pKey=1342581762802766&focus=photo,9.0
read-00011,42.516586,-71.103676,True,wood_utility,,lean_slight,slight,none_visible,near,False,1,1,1,2020-07,2020-07,https://www.mapillary.com/app/?pKey=309691497272690&focus=photo,
read-00012,42.515526,-71.103645,True,wood_utility,,,none,intact,near,False,2,1,1,2020-07,2020-07,https://www.mapillary.com/app/?pKey=164915805563617&focus=photo,
read-00013,42.51693,-71.10357,True,wood_utility,,,none,none_visible,near,False,2,2,1,2020-07,2020-07,https://www.mapillary.com/app/?pKey=309691497272690&focus=photo,
read-00014,42.51772,-71.103455,True,wood_utility,,,none,intact,near,False,2,3,1,2020-07,2020-07,https://www.mapillary.com/app/?pKey=495694748549121&focus=photo,
